,pct_change,log_diff
1991-01-01,0.02766648600022381,0.02729068443331606
1992-01-01,0.05433543136590169,0.05291064556733538
1993-01-01,0.05757522038779195,0.05597875979899669
1994-01-01,0.057388417107526735,0.05580211063355556
1995-01-01,0.05714683629834627,0.05557361521372961
1996-01-01,0.04602043340796924,0.044992900258783664
1997-01-01,0.06280599984647584,0.06091258020794399
1998-01-01,0.06024701485353612,0.058501913856725096
1999-01-01,0.06211980402594941,0.06026672627447738
2000-01-01,0.06218292276822668,0.060326151648741444
2001-01-01,0.04698877530689494,0.04591821101612226
2002-01-01,0.03018014435190164,0.02973368437780266
2003-01-01,0.03657028041277788,0.03591745610661157
2004-01-01,0.06587039289196128,0.06379173569893837
2005-01-01,0.07056678474944444,0.06818821360275962
2006-01-01,0.06602725090639017,0.06393888911896184
